Tokens.txt opening....
Reading in File Data.......
File 1 tokens: 239, k-gram hashes: 236, fingerprints: 85
File 2 tokens: 294, k-gram hashes: 291, fingerprints: 102
File 3 tokens: 291, k-gram hashes: 288, fingerprints: 104
File 4 tokens: 288, k-gram hashes: 285, fingerprints: 104
File 5 tokens: 329, k-gram hashes: 326, fingerprints: 117
File 6 tokens: 264, k-gram hashes: 261, fingerprints: 94
File 7 tokens: 271, k-gram hashes: 268, fingerprints: 94
File 8 tokens: 268, k-gram hashes: 265, fingerprints: 97
File 9 tokens: 291, k-gram hashes: 288, fingerprints: 104
File 10 tokens: 331, k-gram hashes: 328, fingerprints: 124
File 11 tokens: 298, k-gram hashes: 295, fingerprints: 111
File 12 tokens: 257, k-gram hashes: 254, fingerprints: 92
File 13 tokens: 266, k-gram hashes: 263, fingerprints: 94
File 14 tokens: 361, k-gram hashes: 358, fingerprints: 134
File 15 tokens: 247, k-gram hashes: 244, fingerprints: 91
File 16 tokens: 329, k-gram hashes: 326, fingerprints: 134
File 17 tokens: 216, k-gram hashes: 213, fingerprints: 77
File 18 tokens: 355, k-gram hashes: 352, fingerprints: 129
File 19 tokens: 361, k-gram hashes: 358, fingerprints: 132
File 20 tokens: 330, k-gram hashes: 327, fingerprints: 124
File 21 tokens: 348, k-gram hashes: 345, fingerprints: 132
File 22 tokens: 252, k-gram hashes: 249, fingerprints: 93
File 23 tokens: 255, k-gram hashes: 252, fingerprints: 92
File 24 tokens: 261, k-gram hashes: 258, fingerprints: 92
File 25 tokens: 275, k-gram hashes: 272, fingerprints: 98
File 26 tokens: 288, k-gram hashes: 285, fingerprints: 105
File 27 tokens: 195, k-gram hashes: 192, fingerprints: 83
File 28 tokens: 289, k-gram hashes: 286, fingerprints: 103
File 29 tokens: 260, k-gram hashes: 257, fingerprints: 92
File 30 tokens: 329, k-gram hashes: 326, fingerprints: 123
File 31 tokens: 307, k-gram hashes: 304, fingerprints: 108
File 32 tokens: 273, k-gram hashes: 270, fingerprints: 96
File 33 tokens: 322, k-gram hashes: 319, fingerprints: 115
File 34 tokens: 235, k-gram hashes: 232, fingerprints: 83
File 35 tokens: 361, k-gram hashes: 358, fingerprints: 134
File 36 tokens: 266, k-gram hashes: 263, fingerprints: 94
File 37 tokens: 285, k-gram hashes: 282, fingerprints: 106
File 38 tokens: 306, k-gram hashes: 303, fingerprints: 117
File 39 tokens: 362, k-gram hashes: 359, fingerprints: 134
File 40 tokens: 324, k-gram hashes: 321, fingerprints: 115
File 41 tokens: 360, k-gram hashes: 357, fingerprints: 134
File 42 tokens: 299, k-gram hashes: 296, fingerprints: 106
File 43 tokens: 345, k-gram hashes: 342, fingerprints: 128
File 44 tokens: 164, k-gram hashes: 161, fingerprints: 95
File 45 tokens: 274, k-gram hashes: 271, fingerprints: 100
File 46 tokens: 279, k-gram hashes: 276, fingerprints: 104
File 47 tokens: 256, k-gram hashes: 253, fingerprints: 91
File 48 tokens: 260, k-gram hashes: 257, fingerprints: 91
File 49 tokens: 255, k-gram hashes: 252, fingerprints: 91
File 50 tokens: 255, k-gram hashes: 252, fingerprints: 94
File 51 tokens: 156, k-gram hashes: 153, fingerprints: 69
File 52 tokens: 327, k-gram hashes: 324, fingerprints: 122
File 53 tokens: 291, k-gram hashes: 288, fingerprints: 104
File 54 tokens: 291, k-gram hashes: 288, fingerprints: 104
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
                   1         2         3         4         5         6         7         8         9        10        11        12        13        14        15        16        17        18        19        20        21        22        23        24        25        26        27        28        29        30        31        32        33        34        35        36        37        38        39        40        41        42        43        44        45        46        47        48        49        50        51        52        53        54
        21     49.06     47.17     50.94     47.17     54.55     48.15     56.86     54.72     50.94     48.39     31.94     47.27     47.37     52.46     52.83     20.00     50.94     53.57     45.00     36.23        --     55.77     50.00     59.18     48.15     47.27     37.25     46.43     46.30     46.77     44.23     52.94     57.14     42.31     48.33     40.00     48.21     91.49     50.00     48.15     40.00     57.89     95.45      1.27     38.60     51.85     48.15     41.07     50.00     41.07      6.49     33.80     50.94     50.94
        22     60.00     54.35     62.22     69.05     56.00     69.77     65.91     74.42     62.22     51.79     33.33     54.17     67.39     48.28     94.74     25.35     65.91     54.90     33.33     38.10     55.77        --     69.05     77.50     58.70     54.17     28.57     66.67     67.44     52.73     47.83     69.05     55.77     45.65     43.86     55.56     52.00     50.91     45.45     55.32     37.70     59.62     58.00      1.39     56.52     63.04     73.81     63.64     72.09     53.19      8.70     39.68     62.22     62.22
        23     53.33     47.83     55.56     58.14     50.00     62.79     75.00     71.43     55.56     41.38     37.10     57.78     72.09     43.10     73.17     22.86     70.73     49.02     42.59     44.83     50.00     69.05        --     74.36     55.56     51.06     30.43     60.00     60.47     42.11     54.76     61.90     59.18     42.22     38.60     63.41     48.98     45.45     40.00     52.17     35.00     53.85     52.00      0.00     53.33     56.52     75.00     64.29     73.17     56.82      9.09     34.92     55.56     55.56
        24     64.29     65.85     75.00     70.00     63.04     70.73     84.21     84.62     75.00     49.09     39.34     65.12     68.18     53.70     73.17     22.86     70.73     61.70     35.09     42.37     59.18     77.50     74.36        --     62.79     61.36     33.33     67.44     68.29     50.00     54.76     83.78     65.96     52.38     46.30     63.41     58.70     53.85     48.08     70.73     42.11     66.67     61.70      0.00     56.82     67.44     75.00     64.29     73.17     60.47      9.09     41.67     75.00     75.00
        25     57.78     48.94     56.52     52.17     60.42     60.00     60.00     54.17     56.52     58.49     45.00     46.00     55.10     51.79     55.32     20.55     50.00     59.18     43.64     40.98     48.15     58.70     55.56     62.79        --     58.70     37.78     60.87     61.36     59.62     55.81     62.79     50.94     53.49     55.77     64.29     56.25     43.86     58.00     63.64     50.91     51.85     50.00      0.00     61.36     68.18     53.19     57.78     58.70     47.92      8.82     42.62     56.52     56.52
        26     67.44     54.35     55.32     54.35     47.17     65.91     55.32     56.25     55.32     49.12     39.68     45.10     60.42     59.26     51.02     20.27     52.08     46.30     33.33     42.62     47.27     54.17     51.06     61.36     58.70        --     34.04     66.67     63.64     50.00     54.55     54.35     50.00     48.89     54.72     55.56     94.87     43.10     56.86     69.77     40.00     48.21     49.06      0.00     56.52     74.42     58.70     56.52     60.87     46.94      8.70     49.15     55.32     55.32
        27     32.61     33.33     31.91     30.43     42.55     26.53     29.17     28.00     31.91     34.55     24.19     26.00     24.53     36.36     26.00      9.86     24.00     41.67     30.19     35.71     37.25     28.57     30.43     33.33     37.78     34.04        --     25.49     29.79     35.19     32.56     33.33     37.25     30.23     36.54     28.26     32.65     33.33     35.29     34.78     28.07     35.85     36.00      0.00     27.08     30.61     26.53     27.08     26.00     27.08      4.92     24.19     31.91     31.91
        28     62.22     44.00     51.02     56.52     43.64     85.00     60.87     58.33     51.02     48.28     36.92     44.23     85.71     50.00     63.04     23.29     64.44     42.86     35.00     37.50     46.43     66.67     60.00     67.44     60.87     66.67     25.49        --     73.81     49.12     43.75     56.52     46.43     44.68     48.21     61.36     63.83     42.37     50.00     57.45     41.67     50.00     48.15      0.00     62.22     65.22     72.09     65.91     74.42     48.98      8.57     56.14     51.02     51.02
        29     62.79     50.00     57.78     64.29     49.02     86.84     61.36     58.70     57.78     50.91     36.51     44.00     70.45     64.71     63.64     22.54     73.17     48.08     34.48     37.10     46.30     67.44     60.47     68.29     61.36     63.64     29.79     73.81        --     51.85     46.67     64.29     46.30     47.73     48.15     70.00     60.87     42.11     50.00     61.36     38.98     50.00     48.08      0.00     75.00     62.22     82.05     84.21     80.00     48.94      8.96     43.33     57.78     57.78
        30     51.85     47.27     53.70     44.64     60.00     50.91     48.21     46.55     53.70     97.92     42.03     37.70     45.00     60.00     50.00     22.22     43.10     58.93     38.46     42.65     46.77     52.73     42.11     50.00     59.62     50.00     35.19     49.12     51.85        --     56.00     58.82     49.18     42.59     58.62     60.00     48.28     47.62     57.89     50.91     54.10     50.00     48.33      1.22     49.09     54.55     45.61     46.43     50.00     38.98      7.59     40.00     53.70     53.70
